Sector,Project,Operation,Chinese Company,Year,US$ M
Petróleo,Arremate 20% do setor SS-AP1 no bloco de Alto de Cabo Frio Oeste,China National Offshore Oil Corporation (CNOOC),China National Offshore Oil Corporation (CNOOC),2017,"22,00"
Petróleo,Participação de 20% na área de Peroba,CNODC Brasil Petróleo e Gás,China Southern Petroleum Exploration and Development Corporation (CNODC),2017,"122,00"
Petróleo,Arremate do bloco ES-M-592,China National Offshore Oil Corporation (CNOOC),China National Offshore Oil Corporation (CNOOC),2017,"8,00"
Transmissão,LT Paranaíta - Cláudia 2,Paranaíta Ribeirãozinho Transmissora de Energia (PRTE),State Grid,2016,"458,44"
Transmissão,LT Cláudia - Paranatinga,Paranaíta Ribeirãozinho Transmissora de Energia (PRTE),State Grid,2016,"458,44"
Transmissão,LT Paranatinga - Ribeirãozinho,Paranaíta Ribeirãozinho Transmissora de Energia (PRTE),State Grid,2016,"458,44"
Transmissão,LT Paranatinga – Canarana,Canarana Transmissora de Energia S.A.,State Grid,2016,"86,09"
Transmissão,SE Paranatinga,Canarana Transmissora de Energia S.A.,State Grid,2016,"86,09"
Transmissão,SE Canarana,Canarana Transmissora de Energia S.A.,State Grid,2016,"86,09"
Mineração,Planta da Anglo American em Ouvidor,CMOC Brasil,China Molybdenum Company (CMOC),2016,"1.700,00"
Mineração,Planta da Anglo American em Catalão,CMOC Brasil,China Molybdenum Company (CMOC),2016,"1.700,00"
Mineração,Planta da Anglo American em Cubatão,CMOC Brasil,China Molybdenum Company (CMOC),2016,"1.700,00"
Agricultura,Fiagril Participações,Fiagril Ltda,Hunan Dakang International Food Agriculture,2016,"286,00"
Hidrelétrica,PCH Retiro,CTG Brasil,China Three Gorges (CTG),2016,"1.200,00"
Hidrelétrica,PCH Palmeiras,CTG Brasil,China Three Gorges (CTG),2016,"1.200,00"
Hidrelétrica,UHE Canoas I,CTG Brasil,China Three Gorges (CTG),2016,"1.200,00"
Hidrelétrica,UHE Canoas II,CTG Brasil,China Three Gorges (CTG),2016,"1.200,00"
Hidrelétrica,UHE Chavantes,CTG Brasil,China Three Gorges (CTG),2016,"1.200,00"
